2025-11-04 00:23:01, Frame 1, Emotion: happy, Stressed: False
2025-11-04 00:23:01, Frame 2, Emotion: happy, Stressed: False
2025-11-04 00:23:01, Frame 3, Emotion: happy, Stressed: False
2025-11-04 00:23:01, Frame 4, Emotion: happy, Stressed: False
2025-11-04 00:23:02, Frame 5, Emotion: happy, Stressed: False
2025-11-04 00:23:02, Frame 6, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 7, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 8, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 9, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 10, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 11, Emotion: fear, Stressed: True
2025-11-04 00:23:02, Frame 12, Emotion: neutral, Stressed: False
2025-11-04 00:23:02, Frame 13, Emotion: neutral, Stressed: False
2025-11-04 00:23:03, Frame 14, Emotion: neutral, Stressed: False
2025-11-04 00:23:03, Frame 15, Emotion: fear, Stressed: True
2025-11-04 00:23:03, Frame 16, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 17, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 18, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 19, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 20, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 21, Emotion: happy, Stressed: False
2025-11-04 00:23:03, Frame 22, Emotion: happy, Stressed: False
2025-11-04 00:23:04, Frame 23, Emotion: happy, Stressed: False
2025-11-04 00:23:04, Frame 24, Emotion: happy, Stressed: False
2025-11-04 00:23:04, Frame 25, Emotion: fear, Stressed: True
2025-11-04 00:23:04, Frame 26, Emotion: angry, Stressed: True
2025-11-04 00:23:04, Frame 27, Emotion: neutral, Stressed: False
2025-11-04 00:23:04, Frame 28, Emotion: neutral, Stressed: False
2025-11-04 00:23:04, Frame 29, Emotion: neutral, Stressed: False
2025-11-04 00:23:04, Frame 30, Emotion: surprise, Stressed: False
2025-11-04 00:23:04, Frame 31, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 32, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 33, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 34, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 35, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 36, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 37, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 38, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 39, Emotion: happy, Stressed: False
2025-11-04 00:23:05, Frame 40, Emotion: happy, Stressed: False
2025-11-04 00:23:06, Frame 41, Emotion: happy, Stressed: False
2025-11-04 00:23:06, Frame 42, Emotion: neutral, Stressed: False
2025-11-04 00:23:06, Frame 43, Emotion: neutral, Stressed: False
2025-11-04 00:23:06, Frame 44, Emotion: neutral, Stressed: False
2025-11-04 00:23:06, Frame 45, Emotion: neutral, Stressed: False
2025-11-04 00:23:06, Frame 46, Emotion: fear, Stressed: True
2025-11-04 00:23:06, Frame 47, Emotion: neutral, Stressed: False
2025-11-04 00:23:06, Frame 48, Emotion: fear, Stressed: True
2025-11-04 00:23:06, Frame 49, Emotion: fear, Stressed: True
2025-11-04 00:23:07, Frame 50, Emotion: happy, Stressed: False
2025-11-04 00:23:07, Frame 51, Emotion: happy, Stressed: False
2025-11-04 00:23:07, Frame 52, Emotion: happy, Stressed: False
2025-11-04 00:23:07, Frame 53, Emotion: fear, Stressed: True
2025-11-04 00:23:07, Frame 54, Emotion: neutral, Stressed: False
